"ID","ceu","chb","yri","na"
"1",1,0,0,0,1
"2",2,0,0,1,0
"3",3,0,0,0,1
"4",4,0,0.400228596043235,0.599771403956765,0
"5",5,0,0,1,0
"6",6,0,0,0,1
"7",7,0,0,0,1
"8",8,0,0,1,0
"9",9,0.561327055327638,0,0,0.438672944672362
"10",10,1,0,0,0
"11",11,0,0,1,0
"12",12,0,0,1,0
"13",13,1,0,0,0
"14",14,1,0,0,0
"15",15,1,0,0,0
"16",16,0,0,1,0
"17",17,0,0,0,1
"18",18,0,0,1,0
"19",19,0,0,1,0
"20",20,0,0,0,1
"21",21,0,0,1,0
"22",22,0,0,0,1
"23",23,0,0,0,1
"24",24,0,0,1,0
"25",25,1,0,0,0
"26",26,0,0,1,0
"27",27,1,0,0,0
"28",28,1,0,0,0
"29",29,0,0,0,1
"30",30,0,0,0,1
"31",31,0,0,1,0
"32",32,0,0,0,1
"33",33,0,0,1,0
"34",34,0,0,1,0
"35",35,0,0.817079185713737,0,0.182920814286263
"36",36,0,0,0,1
"37",37,0.609666960301183,0,0.390333039698817,0
"38",38,0,0,0,1
"39",39,0,0,0,1
"40",40,0,0,0,1
"41",41,0,1,0,0
"42",42,0,0,0,1
"43",43,0,0,1,0
"44",44,0.572104153759938,0.427895846240062,0,0
"45",45,0,0,1,0
"46",46,0,0,1,0
"47",47,1,0,0,0
"48",48,0,0,1,0
"49",49,0,0,1,0
"50",50,0,0.0594005755192485,0.940599424480752,0
"51",51,0,0,0,1
"52",52,0,0,0,1
"53",53,0,0,0,1
"54",54,0,0,1,0
"55",55,0,0,0,1
"56",56,0,0,1,0
"57",57,0,0,1,0
"58",58,0,0,1,0
"59",59,0,0,1,0
"60",60,0,0,0,1
"61",61,0,0,0,1
"62",62,0,0,1,0
"63",63,0,0,0,1
"64",64,0,0,1,0
"65",65,1,0,0,0
"66",66,0,0,0,1
"67",67,0.847172567198868,0.152827432801132,0,0
"68",68,1,0,0,0
"69",69,0.408548206298292,0,0.591451793701708,0
"70",70,1,0,0,0
"71",71,0,0,1,0
"72",72,0.628879989832058,0,0.371120010167942,0
"73",73,0,0,1,0
"74",74,1,0,0,0
"75",75,0,1,0,0
"76",76,0,0,1,0
"77",77,0,0,1,0
"78",78,0,0,0,1
"79",79,0,0,1,0
"80",80,0,0,0.24387427128022,0.75612572871978
"81",81,0,0,1,0
"82",82,0,0,1,0
"83",83,0,0,1,0
"84",84,0,0,1,0
"85",85,0,0,1,0
"86",86,0,0,0,1
"87",87,0,0,1,0
"88",88,0,0,1,0
"89",89,0,0,1,0
"90",90,0,0,1,0
"91",91,0,0,0,1
"92",92,0,0,1,0
"93",93,0,0,0.462783644341471,0.537216355658529
"94",94,0.350454420909955,0,0.649545579090045,0
"95",95,0,0,0,1
"96",96,0,0,1,0
"97",97,0,0,1,0
"98",98,0,0,0,1
"99",99,0,0,0,1
"100",100,0,0,0,1
"101",101,0,0,1,0
"102",102,0,0,0,1
"103",103,0,0,1,0
"104",104,0,0,1,0
"105",105,0,0,0,1
"106",106,0,1,0,0
"107",107,0,0,1,0
"108",108,0,1,0,0
"109",109,0,0,1,0
"110",110,0.568217789929625,0.390443193461845,0.04133901660853,0
"111",111,0,0,1,0
"112",112,1,0,0,0
"113",113,0,0,1,0
"114",114,0,0,0,1
"115",115,1,0,0,0
"116",116,0,0,0,1
"117",117,0,0,0,1
"118",118,0,0,0,1
"119",119,0,0,1,0
"120",120,0,1,0,0
"121",121,0,0,0,1
"122",122,0.54075049900348,0,0.45924950099652,0
"123",123,0,0.341900284622171,0,0.658099715377829
"124",124,0,0,1,0
"125",125,0,0,1,0
"126",126,0,0,1,0
"127",127,0,0,1,0
"128",128,1,0,0,0
"129",129,0,0,1,0
"130",130,0,0,1,0
"131",131,0,0,1,0
"132",132,0,0,1,0
"133",133,0,0,1,0
"134",134,0,0,1,0
"135",135,0.708621391959241,0,0.291378608040759,0
"136",136,0,0,1,0
"137",137,1,0,0,0
"138",138,1,0,0,0
"139",139,0,0,1,0
"140",140,0,0,1,0
"141",141,0,0,0,1
"142",142,0,0,1,0
"143",143,0,0,0,1
"144",144,0,0,1,0
"145",145,0,0,0.56502382702638,0.43497617297362
"146",146,0,0,1,0
"147",147,0,0,1,0
"148",148,1,0,0,0
"149",149,0,0,0,1
"150",150,0,0,1,0
"151",151,0,0,1,0
"152",152,1,0,0,0
"153",153,0,0,0,1
"154",154,0,0,1,0
"155",155,0,0,1,0
"156",156,0,0,1,0
"157",157,1,0,0,0
"158",158,0,0,1,0
"159",159,0,0,1,0
"160",160,0.645850686349149,0.354149313650851,0,0
"161",161,0,0,0,1
"162",162,0,0,0,1
"163",163,0,0,0,1
"164",164,0,0,0,1
"165",165,0,0,0,1
"166",166,0,0,1,0
"167",167,0,0,1,0
"168",168,0,0,1,0
"169",169,0,0,0,1
"170",170,0,0,1,0
"171",171,0,0,0,1
"172",172,0,0,1,0
"173",173,0,0,0,1
"174",174,0,0,1,0
"175",175,0,0,1,0
"176",176,0,0,1,0
"177",177,0,0,0,1
"178",178,0,0,1,0
"179",179,0,0,0.0601150791517284,0.939884920848272
"180",180,0,0,0,1
"181",181,0,0,1,0
"182",182,0,0,1,0
"183",183,0,0,1,0
"184",184,0,0,1,0
"185",185,0,0,1,0
"186",186,0,0,1,0
"187",187,0,0,0,1
"188",188,0,0,1,0
"189",189,0,0,0,1
"190",190,1,0,0,0
"191",191,0,0,1,0
"192",192,0,0,1,0
"193",193,0,0,1,0
"194",194,1,0,0,0
"195",195,0,0,1,0
"196",196,1,0,0,0
"197",197,0,0,0,1
"198",198,0,0,1,0
"199",199,0,0,1,0
"200",200,0,0,1,0
"201",201,0,0,1,0
"202",202,0,0,1,0
"203",203,0,0,1,0
"204",204,0,0,1,0
"205",205,0,0,0,1
"206",206,0,0,1,0
"207",207,0,0,1,0
"208",208,0,0,1,0
"209",209,0,0,1,0
"210",210,0,0,0,1
"211",211,0,0,1,0
"212",212,0,0,0,1
"213",213,0,0,1,0
"214",214,0.659629776591828,0,0.340370223408172,0
"215",215,0,0,1,0
"216",216,0,0,1,0
"217",217,0,0,1,0
"218",218,0,0,1,0
"219",219,0,0,1,0
"220",220,0,0,0,1
"221",221,0,0,1,0
"222",222,0,0,1,0
"223",223,0,0,1,0
"224",224,0,0,0,1
"225",225,0,0,1,0
"226",226,0,1,0,0
"227",227,1,0,0,0
"228",228,0,0,1,0
"229",229,0,0,1,0
"230",230,0,0,0,1
"231",231,0,0.735320335003052,0.264679664996948,0
"232",232,0,0,1,0
"233",233,0,0,0,1
"234",234,0,0,1,0
"235",235,1,0,0,0
"236",236,1,0,0,0
"237",237,1,0,0,0
"238",238,0,0,0,1
"239",239,0,0,1,0
"240",240,0,0,1,0
"241",241,0,0,0,1
"242",242,0,0,1,0
"243",243,0.673369092470239,0,0.326630907529761,0
"244",244,0,0,1,0
"245",245,0,0,0,1
"246",246,0,0,1,0
"247",247,0,0,0,1
"248",248,0,0,1,0
"249",249,0,0.688435146157644,0.311564853842356,0
"250",250,0,0,0,1
"251",251,0,0,1,0
"252",252,1,0,0,0
"253",253,0,0,0,1
"254",254,0,0,1,0
"255",255,0,0,1,0
"256",256,0,0,1,0
"257",257,0,0,1,0
"258",258,0.427197571909346,0.572802428090654,0,0
"259",259,0,0,0,1
"260",260,0,0,0,1
"261",261,0,0,0,1
"262",262,0,0,1,0
"263",263,0,0,1,0
"264",264,0,0,1,0
"265",265,0.820248938396617,0,0.179751061603383,0
"266",266,0.729138479297035,0,0,0.270861520702965
"267",267,0.971511195790299,0,0.0284888042097009,0
"268",268,1,0,0,0
"269",269,0,0,0,1
"270",270,0,0,1,0
"271",271,0,0,0,1
"272",272,0,0,1,0
"273",273,0,0,0,1
"274",274,0,0,1,0
"275",275,0,0,0.256904934014528,0.743095065985472
"276",276,0,0,1,0
"277",277,0,0,0,1
"278",278,0,0,0,1
"279",279,0,1,0,0
"280",280,0,0,0,1
"281",281,0,0,0,1
"282",282,0,0.504738812916912,0,0.495261187083088
"283",283,0,0,0,1
"284",284,0,0,1,0
"285",285,0,0,0,1
"286",286,0.911113450296398,0.0888865497036023,0,0
"287",287,0,0,1,0
"288",288,0,0,1,0
"289",289,0,0,1,0
"290",290,0,0,0,1
"291",291,0,0,0,1
"292",292,0,0,1,0
"293",293,0,0,1,0
"294",294,0,0,0,1
"295",295,0,0,0,1
"296",296,0,0,1,0
"297",297,0,0,0,1
"298",298,0,0,1,0
"299",299,0,0,1,0
"300",300,0,0,1,0
"301",301,0,0,1,0
"302",302,0,0,1,0
"303",303,0,0,1,0
"304",304,0,0,0,1
"305",305,0,0,0,1
"306",306,0,0,0,1
"307",307,0,0,1,0
"308",308,0,0,0,1
"309",309,0.637818097206036,0,0.362181902793964,0
"310",310,0,0,0,1
"311",311,0,1,0,0
"312",312,0,0,1,0
"313",313,0,0,0,1
"314",314,0.963966607179827,0,0.0360333928201727,0
"315",315,0,0,0,1
"316",316,0,0,0,1
"317",317,0,0,0,1
"318",318,0,0,0,1
"319",319,0,0,1,0
"320",320,0,0,1,0
"321",321,0,0,0,1
"322",322,0,0,1,0
"323",323,0,0,1,0
"324",324,0,0,0,1
"325",325,0,0,0,1
"326",326,0,0,1,0
"327",327,0,0,1,0
"328",328,0,0,1,0
"329",329,0,0,1,0
"330",330,0,0,1,0
"331",331,1,0,0,0
"332",332,0,0,0,1
"333",333,0,0,1,0
"334",334,0,0,0,1
"335",335,0,0,1,0
"336",336,0,0.430646234348387,0,0.569353765651613
"337",337,0,0,1,0
"338",338,0,0,1,0
"339",339,0,1,0,0
"340",340,0,0,0,1
"341",341,0,0,1,0
"342",342,0,0,1,0
"343",343,0,0,1,0
"344",344,0,0,0,1
"345",345,0,0,1,0
"346",346,0,0,0.562294079876665,0.437705920123335
"347",347,0,0,0,1
"348",348,0,0,1,0
"349",349,0,0,1,0
"350",350,0,0,0,1
"351",351,0,1,0,0
"352",352,0,0,1,0
"353",353,0,0.980348978668189,0.0196510213318108,0
"354",354,0,0,0,1
"355",355,0,0,1,0
"356",356,0,0,0.976926322602594,0.0230736773974058
"357",357,0,0,1,0
"358",358,0,0,0,1
"359",359,0,0,0,1
"360",360,0,0,0,1
"361",361,0,0,1,0
"362",362,0,0,1,0
"363",363,0,0,0,1
"364",364,0.260150460171644,0,0.739849539828356,0
"365",365,0,0,0,1
"366",366,0,0,1,0
"367",367,0,0,0,1
"368",368,1,0,0,0
"369",369,0,0,1,0
"370",370,0,0,1,0
"371",371,0,0,1,0
"372",372,0,0,1,0
"373",373,0,0,1,0
"374",374,0,0,0,1
"375",375,0,0,0,1
"376",376,0,0,1,0
"377",377,0,0,1,0
"378",378,0,0,1,0
"379",379,0.614338939150912,0,0,0.385661060849088
"380",380,0,0,1,0
"381",381,0,0,1,0
"382",382,0.514467282278929,0.485532717721071,0,0
"383",383,0,0,0,1
"384",384,0,0,1,0
"385",385,0,1,0,0
"386",386,0,0,1,0
"387",387,0,0,1,0
"388",388,0,0,1,0
"389",389,0,0,1,0
"390",390,0,0,1,0
"391",391,0,0,1,0
"392",392,0,0,1,0
"393",393,0,0,1,0
"394",394,0,0,0,1
"395",395,1,0,0,0
"396",396,0,0,1,0
"397",397,0,0,1,0
"398",398,0,0,1,0
"399",399,0,0,1,0
"400",400,0,0,0,1
"401",401,0,0,1,0
"402",402,0,0,0.983391554540503,0.0166084454594966
"403",403,0,0,0,1
"404",404,0,0,0,1
"405",405,0,0,1,0
"406",406,0,0,1,0
"407",407,0,0.63464669035966,0,0.36535330964034
"408",408,0,0,1,0
"409",409,0,0,0,1
"410",410,0.532300363811373,0,0,0.467699636188627
"411",411,1,0,0,0
"412",412,0,0,1,0
"413",413,0,0,1,0
"414",414,0,1,0,0
"415",415,0,0,1,0
"416",416,0,0,1,0
"417",417,0.446198076237124,0.553801923762876,0,0
"418",418,0.863521538907662,0,0.136478461092338,0
"419",419,0.969565801498902,0,0.030434198501098,0
"420",420,1,0,0,0
"421",421,0,0,1,0
"422",422,0,0,1,0
"423",423,0.668742954518166,0.331257045481834,0,0
"424",424,0,0,1,0
"425",425,0,0,1,0
"426",426,0,0,0,1
"427",427,0,1,0,0
"428",428,0,0,1,0
"429",429,0,0,1,0
"430",430,0.685945595483645,0,0.314054404516355,0
"431",431,1,0,0,0
"432",432,0,0,1,0
"433",433,0,0,1,0
"434",434,0,0,1,0
"435",435,0,0,0,1
"436",436,0,0,1,0
"437",437,0,0,1,0
"438",438,0,0.961532520979744,0,0.0384674790202557
"439",439,1,0,0,0
"440",440,0,0.569244686717866,0.430755313282134,0
"441",441,0,0,1,0
"442",442,0,1,0,0
"443",443,0,0,1,0
"444",444,0,0,1,0
"445",445,0,0,0,1
"446",446,0,0,1,0
"447",447,0,0,0,1
"448",448,1,0,0,0
"449",449,0,0,0,1
"450",450,0,0,1,0
"451",451,0,0,1,0
"452",452,0.316819530444263,0,0.683180469555737,0
"453",453,0,0,1,0
"454",454,0,0,0,1
"455",455,0,0,1,0
"456",456,0,0,1,0
"457",457,0,0,0,1
"458",458,1,0,0,0
"459",459,0,0,0,1
"460",460,0,0,1,0
"461",461,0,0,1,0
"462",462,0,0,0,1
"463",463,0,0,1,0
"464",464,0,0,0,1
"465",465,0,0,0,1
"466",466,0,0,0,1
"467",467,0,0,1,0
"468",468,0,0,1,0
"469",469,0.194407026478075,0,0,0.805592973521925
"470",470,0,0,0,1
"471",471,0,0,1,0
"472",472,0,0,1,0
"473",473,0,0,0,1
"474",474,0,0.87627532235092,0,0.12372467764908
"475",475,0,0,0,1
"476",476,0,1,0,0
"477",477,0,0,0,1
"478",478,0,0,1,0
"479",479,0,0,1,0
"480",480,0,0,0,1
"481",481,0,0,0,1
"482",482,0,1,0,0
"483",483,0,0,1,0
"484",484,1,0,0,0
"485",485,0,0,0,1
"486",486,0,0,1,0
"487",487,0,0,0,1
"488",488,0,0,1,0
"489",489,0,0,1,0
"490",490,0,0,1,0
"491",491,1,0,0,0
"492",492,1,0,0,0
"493",493,0,1,0,0
"494",494,0,0,1,0
"495",495,0,0,0.643768672038277,0.356231327961723
"496",496,0.478831158161484,0.521168841838517,0,0
"497",497,0,0,1,0
"498",498,0,0,1,0
"499",499,0.641834669790114,0,0.358165330209886,0
"500",500,0,0,1,0
"501",501,0,0,0,1
"502",502,0,0,0,1
"503",503,0,0,1,0
"504",504,0,0.646466905500346,0,0.353533094499654
"505",505,0,0,0,1
"506",506,0,0,1,0
"507",507,0,0,1,0
